file,maxPointsP1,maxPointsP2,maxPointsP3
fyaBNatsSemis2016.csv,11.0,,10.0
fybBNatsSemis2016.csv,14.0,17.0,10.0
fycBNatsSemis2016.csv,15.0,,10.0
fydBNatsSemis2016.csv,19.0,12.0,10.0
myaBNatsSemis2016.csv,10.0,16.0,10.0
mybBNatsSemis2016.csv,12.0,13.0,10.0
mycBNatsSemis2016.csv,12.0,14.0,10.0
mydBNatsSemis2016.csv,13.0,15.0,10.0
